E2_PREFIXO;E2_NUM;E2_TIPO;E2_NATUREZ;E2_FORNECE;E2_LOJA;E2_EMISSAO;E2_VENCTO;E2_VENCREA;E2_VALOR
RPF;020220620;OP;10206;00643692000196;0001;30/06/2022;30/06/2022;30/06/2022;220
RPF;020220620;OP;10206;00952968000118;0001;30/06/2022;30/06/2022;30/06/2022;20
RPF;020220620;OP;10206;01156276000126;0001;30/06/2022;30/06/2022;30/06/2022;70
